time            Cj              shCj           
9.098196393e+02 3.948730809e-01 3.948730809e-01
9.118236473e+02 3.941827347e-01 3.941827347e-01
9.138276553e+02 3.934947982e-01 3.934947982e-01
9.158316633e+02 3.928092589e-01 3.928092589e-01
9.178356713e+02 3.921261044e-01 3.921261044e-01
9.198396794e+02 3.914453221e-01 3.914453221e-01
9.218436874e+02 3.907668996e-01 3.907668996e-01
9.238476954e+02 3.900908245e-01 3.900908245e-01
9.258517034e+02 3.894170849e-01 3.894170849e-01
9.278557114e+02 3.887456685e-01 3.887456685e-01
9.298597194e+02 3.880765635e-01 3.880765635e-01
9.318637275e+02 3.874097579e-01 3.874097579e-01
9.338677355e+02 3.867452398e-01 3.867452398e-01
9.358717435e+02 3.860829981e-01 3.860829981e-01
9.378757515e+02 3.854230210e-01 3.854230210e-01
9.398797595e+02 3.847652970e-01 3.847652970e-01
9.418837675e+02 3.841098142e-01 3.841098142e-01
9.438877756e+02 3.834565610e-01 3.834565610e-01
9.458917836e+02 3.828055256e-01 3.828055256e-01
9.478957916e+02 3.821566965e-01 3.821566965e-01
9.498997996e+02 3.815100633e-01 3.815100633e-01
9.519038076e+02 3.808656153e-01 3.808656153e-01
9.539078156e+02 3.802233413e-01 3.802233413e-01
9.559118236e+02 3.795832302e-01 3.795832302e-01
9.579158317e+02 3.789452706e-01 3.789452706e-01
9.599198397e+02 3.783094515e-01 3.783094515e-01
9.619238477e+02 3.776757616e-01 3.776757616e-01
9.639278557e+02 3.770441912e-01 3.770441912e-01
9.659318637e+02 3.764147301e-01 3.764147301e-01
9.679358717e+02 3.757873677e-01 3.757873677e-01
9.699398798e+02 3.751620931e-01 3.751620931e-01
9.719438878e+02 3.745388958e-01 3.745388958e-01
9.739478958e+02 3.739177651e-01 3.739177651e-01
9.759519038e+02 3.732986968e-01 3.732986968e-01
9.779559118e+02 3.726816655e-01 3.726816655e-01
9.799599198e+02 3.720666723e-01 3.720666723e-01
9.819639279e+02 3.714537067e-01 3.714537067e-01
9.839679359e+02 3.708427581e-01 3.708427581e-01
9.859719439e+02 3.702338163e-01 3.702338163e-01
9.879759519e+02 3.696268708e-01 3.696268708e-01
9.899799599e+02 3.690219114e-01 3.690219114e-01
9.919839679e+02 3.684189286e-01 3.684189286e-01
9.939879760e+02 3.678179132e-01 3.678179132e-01
9.959919840e+02 3.672188553e-01 3.672188553e-01
9.979959920e+02 3.666217455e-01 3.666217455e-01
1.000000000e+03 3.660265742e-01 3.660265742e-01
