time            Cj              Ck              Br             
1.935871743e+03 4.313345205e+00 2.549998879e+00 1.244748050e-01
1.941883768e+03 4.313865010e+00 2.550872213e+00 1.229073663e-01
1.947895792e+03 4.314378443e+00 2.551734655e+00 1.213593631e-01
1.953907816e+03 4.314885580e+00 2.552586337e+00 1.198305620e-01
1.959919840e+03 4.315386494e+00 2.553427391e+00 1.183207322e-01
1.965931864e+03 4.315881259e+00 2.554257946e+00 1.168296454e-01
1.971943888e+03 4.316369946e+00 2.555078129e+00 1.153570758e-01
1.977955912e+03 4.316852627e+00 2.555888068e+00 1.139028005e-01
1.983967936e+03 4.317329372e+00 2.556687887e+00 1.124665991e-01
1.989979960e+03 4.317800252e+00 2.557477709e+00 1.110482532e-01
1.995991984e+03 4.318265337e+00 2.558257656e+00 1.096475473e-01
2.002004008e+03 4.318724693e+00 2.559027850e+00 1.082642680e-01
2.008016032e+03 4.319178390e+00 2.559788409e+00 1.068982046e-01
2.014028056e+03 4.319626494e+00 2.560539452e+00 1.055491487e-01
2.020040080e+03 4.320069071e+00 2.561281095e+00 1.042168945e-01
2.026052104e+03 4.320506189e+00 2.562013453e+00 1.029012383e-01
2.032064128e+03 4.320937910e+00 2.562736640e+00 1.016019787e-01
2.038076152e+03 4.321364300e+00 2.563450769e+00 1.003189168e-01
2.044088176e+03 4.321785422e+00 2.564155951e+00 9.905185566e-02
2.050100200e+03 4.322201339e+00 2.564852297e+00 9.780060096e-02
2.056112224e+03 4.322612113e+00 2.565539912e+00 9.656496046e-02
2.062124248e+03 4.323017804e+00 2.566218904e+00 9.534474416e-02
2.068136273e+03 4.323418473e+00 2.566889380e+00 9.413976418e-02
2.074148297e+03 4.323814180e+00 2.567551443e+00 9.294983486e-02
2.080160321e+03 4.324204984e+00 2.568205197e+00 9.177477266e-02
2.086172345e+03 4.324590944e+00 2.568850744e+00 9.061439615e-02
2.092184369e+03 4.324972118e+00 2.569488184e+00 8.946852605e-02
2.098196393e+03 4.325348566e+00 2.570117622e+00 8.833698537e-02
2.104208417e+03 4.325720343e+00 2.570739156e+00 8.721959885e-02
2.110220441e+03 4.326087508e+00 2.571352883e+00 8.611619341e-02
2.116232465e+03 4.326450116e+00 2.571958902e+00 8.502659798e-02
2.122244489e+03 4.326808222e+00 2.572557309e+00 8.395064345e-02
2.128256513e+03 4.327161877e+00 2.573148191e+00 8.288816250e-02
2.134268537e+03 4.327511136e+00 2.573731645e+00 8.183899002e-02
2.140280561e+03 4.327856053e+00 2.574307762e+00 8.080296273e-02
2.146292585e+03 4.328196679e+00 2.574876632e+00 7.977991931e-02
2.152304609e+03 4.328533065e+00 2.575438341e+00 7.876970028e-02
2.158316633e+03 4.328865260e+00 2.575992977e+00 7.777214822e-02
2.164328657e+03 4.329193315e+00 2.576540626e+00 7.678710762e-02
2.170340681e+03 4.329517280e+00 2.577081375e+00 7.581442476e-02
2.176352705e+03 4.329837209e+00 2.577615318e+00 7.485394708e-02
2.182364729e+03 4.330153152e+00 2.578142539e+00 7.390552479e-02
2.188376754e+03 4.330465158e+00 2.578663124e+00 7.296900966e-02
2.194388778e+03 4.330773272e+00 2.579177149e+00 7.204425450e-02
2.200400802e+03 4.331077541e+00 2.579684697e+00 7.113111457e-02
2.206412826e+03 4.331378013e+00 2.580185847e+00 7.022944664e-02
2.212424850e+03 4.331674732e+00 2.580680679e+00 6.933910896e-02
2.218436874e+03 4.331967744e+00 2.581169268e+00 6.845996178e-02
