time            shCj            shCk           
1.166332665e+03 4.585435563e+01 4.656869054e+01
1.168737475e+03 4.586342502e+01 4.657834885e+01
1.171142285e+03 4.587245121e+01 4.658796090e+01
1.173547094e+03 4.588143449e+01 4.659752706e+01
1.175951904e+03 4.589037519e+01 4.660704763e+01
1.178356713e+03 4.589927362e+01 4.661652297e+01
1.180761523e+03 4.590813008e+01 4.662595339e+01
1.183166333e+03 4.591694487e+01 4.663533922e+01
1.185571142e+03 4.592571830e+01 4.664468078e+01
1.187975952e+03 4.593445066e+01 4.665397839e+01
1.190380762e+03 4.594314225e+01 4.666323237e+01
1.192785571e+03 4.595179336e+01 4.667244303e+01
1.195190381e+03 4.596040427e+01 4.668161067e+01
1.197595190e+03 4.596897529e+01 4.669073561e+01
1.200000000e+03 4.597750668e+01 4.669981815e+01
