time            Cj              Br              Ak             
5.280961924e+03 3.662252478e+00 1.115005641e+00 9.915605711e-01
5.295390782e+03 3.663885410e+00 1.091026211e+00 1.015355690e+00
5.309819639e+03 3.663883985e+00 1.067809669e+00 1.039918925e+00
5.324248497e+03 3.662249315e+00 1.045348513e+00 1.065256797e+00
5.338677355e+03 3.658984481e+00 1.023634655e+00 1.091374949e+00
5.353106212e+03 3.654094534e+00 1.002659514e+00 1.118278059e+00
5.367535070e+03 3.647586497e+00 9.824140772e-01 1.145969761e+00
5.381963928e+03 3.639469384e+00 9.628889600e-01 1.174452557e+00
5.396392786e+03 3.629754212e+00 9.440744648e-01 1.203727729e+00
5.410821643e+03 3.618454003e+00 9.259606451e-01 1.233795261e+00
5.425250501e+03 3.605583802e+00 9.085373562e-01 1.264653747e+00
5.439679359e+03 3.591160699e+00 8.917942974e-01 1.296300312e+00
5.454108216e+03 3.575203804e+00 8.757210854e-01 1.328730536e+00
5.468537074e+03 3.557734282e+00 8.603072824e-01 1.361938371e+00
5.482965932e+03 3.538775358e+00 8.455424326e-01 1.395916062e+00
5.497394790e+03 3.518352277e+00 8.314161388e-01 1.430654101e+00
5.511823647e+03 3.496492358e+00 8.179180518e-01 1.466141133e+00
5.526252505e+03 3.473224964e+00 8.050379254e-01 1.502363904e+00
5.540681363e+03 3.448581426e+00 7.927656937e-01 1.539307233e+00
