time            X1              X2              Y1             
5.751503006e+02 2.564596562e+00 1.543869048e+00 8.492271331e-02
5.771543086e+02 2.564889909e+00 1.544338362e+00 8.358439087e-02
5.791583166e+02 2.565178728e+00 1.544800350e+00 8.226692040e-02
5.811623246e+02 2.565463085e+00 1.545255123e+00 8.096998401e-02
5.831663327e+02 2.565743049e+00 1.545702792e+00 7.969326887e-02
5.851703407e+02 2.566018683e+00 1.546143465e+00 7.843646664e-02
5.871743487e+02 2.566290055e+00 1.546577251e+00 7.719927345e-02
5.891783567e+02 2.566557226e+00 1.547004253e+00 7.598139034e-02
5.911823647e+02 2.566820260e+00 1.547424577e+00 7.478252216e-02
5.931863727e+02 2.567079220e+00 1.547838324e+00 7.360237819e-02
5.951903808e+02 2.567334166e+00 1.548245596e+00 7.244067198e-02
5.971943888e+02 2.567585160e+00 1.548646493e+00 7.129712125e-02
5.991983968e+02 2.567832260e+00 1.549041111e+00 7.017144807e-02
6.012024048e+02 2.568075525e+00 1.549429549e+00 6.906337841e-02
6.032064128e+02 2.568315014e+00 1.549811900e+00 6.797264223e-02
6.052104208e+02 2.568550782e+00 1.550188259e+00 6.689897350e-02
6.072144289e+02 2.568782888e+00 1.550558718e+00 6.584211009e-02
6.092184369e+02 2.569011385e+00 1.550923367e+00 6.480179393e-02
6.112224449e+02 2.569236329e+00 1.551282297e+00 6.377777065e-02
6.132264529e+02 2.569457773e+00 1.551635596e+00 6.276978950e-02
6.152304609e+02 2.569675771e+00 1.551983351e+00 6.177760350e-02
6.172344689e+02 2.569890374e+00 1.552325647e+00 6.080096932e-02
6.192384770e+02 2.570101635e+00 1.552662568e+00 5.983964766e-02
6.212424850e+02 2.570309605e+00 1.552994199e+00 5.889340261e-02
6.232464930e+02 2.570514333e+00 1.553320620e+00 5.796200128e-02
6.252505010e+02 2.570715868e+00 1.553641912e+00 5.704521450e-02
6.272545090e+02 2.570914260e+00 1.553958155e+00 5.614281647e-02
6.292585170e+02 2.571109557e+00 1.554269427e+00 5.525458472e-02
6.312625251e+02 2.571301805e+00 1.554575805e+00 5.438030005e-02
6.332665331e+02 2.571491051e+00 1.554877365e+00 5.351974817e-02
6.352705411e+02 2.571677341e+00 1.555174181e+00 5.267271582e-02
6.372745491e+02 2.571860721e+00 1.555466328e+00 5.183899352e-02
6.392785571e+02 2.572041234e+00 1.555753877e+00 5.101837503e-02
6.412825651e+02 2.572218925e+00 1.556036901e+00 5.021065712e-02
6.432865731e+02 2.572393838e+00 1.556315469e+00 4.941563960e-02
6.452905812e+02 2.572566014e+00 1.556589651e+00 4.863312572e-02
6.472945892e+02 2.572735495e+00 1.556859515e+00 4.786292263e-02
6.492985972e+02 2.572902324e+00 1.557125128e+00 4.710483830e-02
6.513026052e+02 2.573066540e+00 1.557386557e+00 4.635868444e-02
6.533066132e+02 2.573228184e+00 1.557643865e+00 4.562427561e-02
6.553106212e+02 2.573387296e+00 1.557897119e+00 4.490142910e-02
6.573146293e+02 2.573543915e+00 1.558146381e+00 4.418996492e-02
6.593186373e+02 2.573698078e+00 1.558391713e+00 4.348970688e-02
6.613226453e+02 2.573849824e+00 1.558633176e+00 4.280048071e-02
6.633266533e+02 2.573999190e+00 1.558870831e+00 4.212211420e-02
6.653306613e+02 2.574146213e+00 1.559104737e+00 4.145443815e-02
6.673346693e+02 2.574290929e+00 1.559334952e+00 4.079728592e-02
6.693386774e+02 2.574433373e+00 1.559561536e+00 4.015049338e-02
6.713426854e+02 2.574573581e+00 1.559784543e+00 3.951389882e-02
6.733466934e+02 2.574711587e+00 1.560004030e+00 3.888734460e-02
6.753507014e+02 2.574847426e+00 1.560220052e+00 3.827067318e-02
6.773547094e+02 2.574981130e+00 1.560432663e+00 3.766373030e-02
6.793587174e+02 2.575112733e+00 1.560641916e+00 3.706636399e-02
6.813627255e+02 2.575242267e+00 1.560847865e+00 3.647842458e-02
6.833667335e+02 2.575369765e+00 1.561050560e+00 3.589976465e-02
6.853707415e+02 2.575495258e+00 1.561250053e+00 3.533023947e-02
6.873747495e+02 2.575618777e+00 1.561446394e+00 3.476970696e-02
